region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
131,673.3711229295998,2016.0,696,6,2,6.0,663,154.8254524696847,8589,1764,2541,6564,1096,869,4238,32.59,-85.48
131,703.4774482922774,2020.0,484,21,2,6.0,7622,132.39294390771153,8589,1764,3088,6564,1854,1115,4238,32.59,-85.48
131,774.9397178097581,2020.0,1605,14,2,6.0,7622,106.9309334300732,8589,1764,2541,6564,1096,1700,4238,32.59,-85.48
131,564.9208512860552,2017.0,347,6,2,8.0,7622,172.82462701309893,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,686.0324714581235,2020.0,94,5,2,6.0,7622,52.367785491275704,8589,1764,1120,6564,498,1700,4238,32.59,-85.48
131,639.6060539101314,2020.0,1605,12,2,6.0,7622,101.15705851000183,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,686.0324714581235,2019.0,153,13,2,6.0,663,106.46552561446128,8589,1764,2134,6564,260,1336,4238,32.59,-85.48
131,524.904295920532,2004.0,1605,21,2,8.0,447,239.41502186789467,8589,6686,3088,1262,1096,711,4238,32.5475,-85.4682
131,472.37233707248697,2016.0,484,6,2,6.0,7622,166.08030384091316,8589,1764,3088,6564,498,869,4238,32.59,-85.48
131,626.2690929128136,2016.0,1605,9,2,6.0,7622,113.79656086346166,8589,1764,2541,6564,1096,1336,4238,32.59,-85.48
131,607.2412929205586,2015.0,357,11,2,6.0,663,165.04488933705613,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,428.09312202458773,2012.0,371,36,0,6.0,7622,246.97464838093072,8589,6686,2134,1262,112,1115,4238,32.628739,-85.46182
131,647.5116879825199,2018.0,347,4,2,6.0,663,154.55473866692847,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,593.3795845835343,2013.0,357,10,2,8.0,663,230.69259684039514,8589,1764,2541,6564,1096,1700,4238,32.59,-85.48
131,612.7217215630914,2019.0,347,10,2,8.0,7622,107.1858366937592,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,727.865546248091,2018.0,1605,9,2,8.0,7622,127.15495586827583,8589,1764,1120,6564,498,1336,4238,32.59,-85.48
131,639.6060539101314,2017.0,1371,16,2,6.0,7622,136.36060209420958,8589,1764,2541,6564,1096,1700,4238,32.59,-85.48
131,563.6156987932912,2001.0,1605,5,2,8.0,447,292.95708394964385,8589,433,1120,1262,764,2026,4238,32.6304,-85.4016
131,703.4774482922774,2019.0,1371,6,2,6.0,663,84.42289995360721,8589,1764,2541,6564,1096,1336,4238,32.59,-85.48
131,691.0494960387041,2013.0,696,5,2,8.0,7622,197.8635229715189,8589,1764,3088,6564,1096,1700,4238,32.59,-85.48
131,665.6903304836409,2014.0,1371,25,2,8.0,7622,145.97673317494397,8589,1764,3088,6564,1096,143,4238,32.59,-85.48
131,584.948151632671,2016.0,1371,18,2,6.0,7622,176.44389593934787,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,570.6951505948317,2012.0,696,19,2,6.0,7622,169.59979319458623,8589,1764,2541,6564,1096,2026,4238,32.59,-85.48
131,626.2690929128136,2014.0,1371,20,2,6.0,7622,209.17524746472543,8589,6686,2541,6564,1096,1336,4238,32.59,-85.48
131,715.7472723285367,2017.0,484,9,2,6.0,663,162.85161434646608,8589,1764,3088,6564,1854,2026,4238,32.59,-85.48
131,445.5686540709756,2017.0,343,1,0,8.0,7622,241.61052327942696,200,6686,1120,766,1816,557,4238,32.8224,-85.7704
131,620.8760203159374,2020.0,371,8,2,6.0,7622,98.23464401781182,8589,1764,2134,6564,306,1115,4238,32.59,-85.48
